name                           | color  | lambda (anonymous function)       | notes                                                            | | | | | | | | | | | github order number| xl order number
JavaScript                     | #f1e05a| yes                               |                                                                  | | | | | | | | | | |                 213|               1
Python                         | #3572A5| yes                               |                                                                  | | | | | | | | | | |                 357|               2
PHP                            | #4F5D95| yes                               |                                                                  | | | | | | | | | | |                 324|               3
Go                             | #00ADD8| yes                               |                                                                  | | | | | | | | | | |                 169|               4
Perl                           | #0298c3| yes                               |                                                                  | | | | | | | | | | |                 335|               5
Julia                          | #a270ba| yes                               |                                                                  | | | | | | | | | | |                 220|               6
Lua                            | #000080| yes                               |                                                                  | | | | | | | | | | |                 253|               7
Ruby                           | #701516| yes                               |                                                                  | | | | | | | | | | |                 388|               8
R                              | #198CE7| yes                               |                                                                  | | | | | | | | | | |                 366|               9
Kotlin                         | #A97BFF| yes                               |                                                                  | | | | | | | | | | |                 231|              10
Swift                          | #F05138| yes                               |                                                                  | | | | | | | | | | |                 423|              11
Dart                           | #00B4AB| yes                               |                                                                  | | | | | | | | | | |                 103|              12
Visual Basic .NET              | #945db7| yes                               |                                                                  | | | | | | | | | | |                 458|              13
C#                             | #7355dd| yes                               |                                                                  | | | | | | | | | | |                  57|              14
MATLAB                         | #e16737| yes                               |                                                                  | | | | | | | | | | |                 255|              15
Wolfram Language               | #dd1100| yes                               |                                                                  | | | | | | | | | | |                 467|              16
Raku                           | #0000fb| yes                               |                                                                  | | | | | | | | | | |                 372|              17
Scala                          | #c22d40| yes                               |                                                                  | | | | | | | | | | |                 396|              18
Java                           | #b07219| yes                               |                                                                  | | | | | | | | | | |                 210|              19
Nu                             | #c9df40| yes                               |                                                                  | | | | | | | | | | |                 299|              20
Elvish                         | #55BB55| yes                               |                                                                  | | | | | | | | | | |                 121|              21
Vim script                     | #199f4b| yes                               |                                                                  | | | | | | | | | | |                 457|              22
Rust                           | #dea584| yes                               |                                                                  | | | | | | | | | | |                 389|              23
Nix                            | #7e7eff| yes                               |                                                                  | | | | | | | | | | |                 297|              24
Tcl                            | #e4cc98| yes                               |                                                                  | | | | | | | | | | |                 433|              25
GDScript                       | #355570| yes                               |                                                                  | | | | | | | | | | |                 152|              26
Typst                          | #239dad| no                                |                                                                  | | | | | | | | | | |                 443|              27
PowerShell                     | #012456| yes                               |                                                                  | | | | | | | | | | |                 345|              28
Elixir                         | #6e4a7e| yes                               |                                                                  | | | | | | | | | | |                 119|              29
OCaml                          | #ef7a08| yes                               |                                                                  | | | | | | | | | | |                 302|              30
Erlang                         | #B83998| yes                               |                                                                  | | | | | | | | | | |                 125|              31
Gleam                          | #ffaff3| yes                               |                                                                  | | | | | | | | | | |                 163|              32
Zig                            | #ec915c| no                                |                                                                  | | | | | | | | | | |                 485|              33
Nim                            | #ffc200| yes                               |                                                                  | | | | | | | | | | |                 295|              34
Odin                           | #60AFFE| yes                               |                                                                  | | | | | | | | | | |                 309|              35
C++                            | #f34b7d| yes                               |                                                                  | | | | | | | | | | |                  58|              36
Objective-C                    | #438eff| yes                               |                                                                  | | | | | | | | | | |                 306|              37
Smalltalk                      | #596706| yes                               |                                                                  | | | | | | | | | | |                 409|              38
ActionScript                   | #882B0F| yes                               |                                                                  | | | | | | | | | | |                  14|              39
Groovy                         | #4298b8| yes                               |                                                                  | | | | | | | | | | |                 174|              40
Cangjie                        | #00868B| yes                               |                                                                  | | | | | | | | | | |                  70|              41
C3                             | #2563eb| yes                               |                                                                  | | | | | | | | | | |                  59|              42
C                              | #555555| no                                |                                                                  | | | | | | | | | | |                  56|              43
D                              | #ba595e| yes                               |                                                                  | | | | | | | | | | |                 100|              44
V                              | #4f87c4| yes                               |                                                                  | | | | | | | | | | |                 449|              45
Vala                           | #a56de2| yes                               |                                                                  | | | | | | | | | | |                 454|              46
Crystal                        | #000100| yes                               |                                                                  | | | | | | | | | | |                  92|              47
Wren                           | #383838| yes                               |                                                                  | | | | | | | | | | |                 469|              48
Pike                           | #005390| yes                               |                                                                  | | | | | | | | | | |                 338|              49
1C Enterprise                  | #814CCC| no                                | Pascal-style                                                     | | | | | | | | | | |                   1|                
4D                             | #004289| yes                               | lambda exist but no linux support                                | | | | | | | | | | |                   2|                
ABAP                           | #E8274B| no                                | Pascal-style                                                     | | | | | | | | | | |                   3|                
ABAP CDS                       | #555e25| no                                | Pascal-style                                                     | | | | | | | | | | |                   4|                
AGS Script                     | #B9D9FF| no                                | No lambda                                                        | | | | | | | | | | |                   5|                
AIDL                           | #34EB6B| no, Not programming/scripting lang| Not programming/scripting lang                                   | | | | | | | | | | |                   6|                
AL                             | #3AA2B5| no                                | Pascal-style                                                     | | | | | | | | | | |                   7|                
ALGOL                          | #D1E0DB| no                                | Pascal-style                                                     | | | | | | | | | | |                   8|                
AMPL                           | #E6EFBB| no, Not programming/scripting lang| Not programming/scripting lang                                   | | | | | | | | | | |                   9|                
